epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4345,1.2198,1.2889,0.4855,1.4242,1.3148,0.0010000,533,,,
2,0.5701,1.1497,1.0793,0.4960,1.3756,1.2945,0.0010000,1044,,,
3,0.6353,0.9950,0.9442,0.5110,1.3286,1.2738,0.0010000,1531,,,
4,0.6813,0.6791,0.6518,0.5371,1.2661,1.2431,0.0010000,1999,,,
5,0.7292,0.6212,0.7073,0.5741,1.1892,1.1951,0.0010000,2453,,,
6,0.7547,0.6047,0.6565,0.6122,1.1061,1.1316,0.0010000,2893,,,
7,0.7688,0.6206,0.6647,0.6473,1.0067,1.0486,0.0010000,3324,,,
8,0.7974,0.7791,0.6817,0.6884,0.8926,0.9409,0.0010000,3748,,,
9,0.7941,0.7181,0.6949,0.7340,0.7654,0.8159,0.0010000,4165,,,
10,0.7970,0.5307,0.4712,0.7740,0.6530,0.6961,0.0010000,4667,0.7780,0.6463,0.6926
11,0.8197,0.3128,0.3453,0.8026,0.5645,0.5928,0.0009044,5074,,,
12,0.8281,0.8676,0.6887,0.8211,0.5126,0.5299,0.0009044,5478,,,
13,0.8352,0.4590,0.4783,0.8347,0.4773,0.4886,0.0009044,5879,,,
14,0.8312,0.2612,0.3707,0.8452,0.4496,0.4580,0.0009044,6276,,,
15,0.8375,0.3533,0.4331,0.8532,0.4254,0.4356,0.0009044,6671,,,
16,0.8459,0.1885,0.2517,0.8557,0.4066,0.4172,0.0009044,7063,,,
17,0.8479,0.3027,0.3486,0.8637,0.3920,0.4028,0.0009044,7452,,,
18,0.8525,0.5157,0.4102,0.8687,0.3797,0.3902,0.0009044,7840,,,
19,0.8509,0.5240,0.5439,0.8722,0.3682,0.3795,0.0009044,8224,,,
20,0.8525,0.2979,0.3654,0.8783,0.3593,0.3679,0.0009044,8692,0.8717,0.3754,0.3752
21,0.8615,0.3946,0.4489,0.8778,0.3521,0.3604,0.0008179,9070,,,
22,0.8727,0.5066,0.4380,0.8808,0.3417,0.3503,0.0008179,9447,,,
23,0.8716,0.3530,0.3813,0.8833,0.3378,0.3430,0.0008179,9822,,,
24,0.8744,0.2328,0.3046,0.8828,0.3336,0.3376,0.0008179,10196,,,
25,0.8772,0.3362,0.3858,0.8863,0.3288,0.3325,0.0008179,10567,,,
26,0.8784,0.2981,0.3650,0.8898,0.3255,0.3282,0.0008179,10938,,,
27,0.8859,0.1645,0.2239,0.8913,0.3229,0.3237,0.0008179,11308,,,
28,0.8880,0.3693,0.3073,0.8888,0.3193,0.3190,0.0008179,11676,,,
29,0.8820,0.2628,0.3391,0.8928,0.3147,0.3137,0.0008179,12043,,,
30,0.8907,0.2858,0.3332,0.8943,0.3119,0.3098,0.0008179,12495,0.8902,0.3207,0.3161
31,0.8861,0.1828,0.2161,0.8963,0.3079,0.3049,0.0007397,12859,,,
32,0.8924,0.4317,0.4174,0.8978,0.3040,0.3016,0.0007397,13221,,,
33,0.8923,0.2079,0.2939,0.9008,0.2966,0.2964,0.0007397,13582,,,
34,0.9020,0.5032,0.3462,0.9028,0.2936,0.2923,0.0007397,13944,,,
35,0.8965,0.1960,0.2040,0.9043,0.2907,0.2889,0.0007397,14303,,,
36,0.8976,0.2075,0.2494,0.9078,0.2851,0.2849,0.0007397,14660,,,
37,0.8978,0.2085,0.1955,0.9088,0.2846,0.2825,0.0007397,15018,,,
38,0.9020,0.6110,0.3479,0.9103,0.2825,0.2801,0.0007397,15377,,,
39,0.9037,0.2793,0.3007,0.9098,0.2814,0.2779,0.0007397,15734,,,
40,0.9035,0.2637,0.3202,0.9098,0.2790,0.2749,0.0007397,16177,0.8992,0.3013,0.2923
41,0.9125,0.3372,0.2868,0.9118,0.2767,0.2725,0.0006690,16534,,,
42,0.9079,0.3779,0.3921,0.9133,0.2745,0.2699,0.0006690,16888,,,
43,0.9088,0.1267,0.1892,0.9123,0.2733,0.2683,0.0006690,17243,,,
44,0.9092,0.0342,0.0623,0.9138,0.2724,0.2659,0.0006690,17598,,,
45,0.9076,0.0652,0.0867,0.9133,0.2693,0.2627,0.0006690,17953,,,
46,0.9136,0.4160,0.4974,0.9173,0.2686,0.2605,0.0006690,18305,,,
47,0.9061,0.1622,0.2119,0.9138,0.2674,0.2589,0.0006690,18656,,,
48,0.9194,0.1318,0.1140,0.9168,0.2646,0.2564,0.0006690,19008,,,
49,0.9166,0.2621,0.2652,0.9193,0.2625,0.2531,0.0006690,19361,,,
50,0.9196,0.1035,0.1624,0.9183,0.2610,0.2512,0.0006690,19797,0.9037,0.2880,0.2724
FINAL TEST,,,,,,,,19884,0.9025,0.2897,0.2748
