epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
70,0.5840,1.3050,1.0567,0.6161,1.3927,1.0366,0.0002976,22420,0.6313,1.3699,1.0287
71,0.5872,1.8772,1.2962,0.6183,1.3898,1.0351,0.0002976,22733,,,
72,0.5942,1.2331,1.0121,0.6185,1.3891,1.0335,0.0002976,23046,,,
73,0.5928,1.5063,1.0559,0.6203,1.3856,1.0304,0.0002976,23360,,,
74,0.5916,0.9748,0.8795,0.6177,1.3872,1.0301,0.0002976,23673,,,
75,0.5912,1.3262,1.0124,0.6203,1.3859,1.0280,0.0002976,23986,,,
76,0.6051,1.5408,1.0366,0.6211,1.3844,1.0259,0.0002198,24300,,,
77,0.6109,1.5958,1.0321,0.6221,1.3825,1.0243,0.0002198,24613,,,
78,0.6034,1.7291,1.0842,0.6217,1.3823,1.0243,0.0002198,24926,,,
79,0.6000,1.2728,1.0751,0.6243,1.3823,1.0228,0.0002198,25240,,,
80,0.6068,1.3068,0.9648,0.6241,1.3786,1.0198,0.0002198,25593,0.6333,1.3578,1.0139
81,0.6064,1.3209,0.9356,0.6243,1.3765,1.0174,0.0002198,25907,,,
82,0.6024,1.6967,1.1797,0.6251,1.3725,1.0150,0.0002198,26221,,,
83,0.6133,1.1922,0.9383,0.6253,1.3718,1.0138,0.0002198,26535,,,
84,0.6116,0.8858,0.7925,0.6255,1.3691,1.0111,0.0002198,26849,,,
85,0.6124,1.7268,1.1156,0.6271,1.3661,1.0091,0.0002198,27163,,,
86,0.6161,1.2383,0.9770,0.6285,1.3660,1.0076,0.0002198,27477,,,
87,0.6113,1.4701,1.0572,0.6271,1.3655,1.0073,0.0002198,27791,,,
88,0.6081,1.5195,1.0900,0.6257,1.3637,1.0060,0.0002198,28105,,,
89,0.6100,1.5265,1.0337,0.6297,1.3620,1.0051,0.0002198,28419,,,
90,0.6123,1.1490,0.8834,0.6293,1.3614,1.0052,0.0002198,28772,0.6371,1.3419,1.0005
91,0.6177,1.7553,1.1721,0.6281,1.3611,1.0043,0.0001623,29087,,,
92,0.6228,1.1526,0.9558,0.6269,1.3605,1.0036,0.0001623,29401,,,
93,0.6325,1.5887,1.0151,0.6279,1.3589,1.0026,0.0001623,29715,,,
94,0.6278,1.1839,0.9854,0.6287,1.3579,1.0007,0.0001623,30030,,,
95,0.6288,1.1705,0.9291,0.6295,1.3569,0.9999,0.0001623,30344,,,
96,0.6245,1.2792,1.0283,0.6315,1.3558,0.9987,0.0001623,30659,,,
97,0.6278,1.2227,1.0005,0.6307,1.3566,0.9978,0.0001623,30974,,,
98,0.6263,1.4371,1.0006,0.6307,1.3557,0.9965,0.0001623,31288,,,
99,0.6279,1.1076,0.9471,0.6301,1.3559,0.9958,0.0001623,31603,,,
100,0.6209,1.4082,1.0705,0.6297,1.3521,0.9927,0.0001623,31957,0.6383,1.3286,0.9877
101,0.5260,1.6425,1.1466,0.6359,1.3519,0.9935,0.0010000,32268,,,
102,0.5339,1.7412,1.0818,0.6327,1.3558,0.9953,0.0010000,32578,,,
103,0.5365,1.3570,1.0463,0.6311,1.3609,0.9983,0.0010000,32886,,,
104,0.5333,1.7912,1.2297,0.6291,1.3625,1.0014,0.0010000,33193,,,
105,0.5447,1.4997,1.1218,0.6247,1.3679,1.0056,0.0010000,33500,,,
106,0.5378,1.7123,1.1519,0.6251,1.3730,1.0108,0.0010000,33806,,,
107,0.5443,1.7377,1.1497,0.6235,1.3728,1.0153,0.0010000,34112,,,
108,0.5334,1.5942,1.1145,0.6217,1.3768,1.0225,0.0010000,34417,,,
109,0.5504,1.7511,1.2960,0.6213,1.3794,1.0272,0.0010000,34722,,,
110,0.5498,1.5996,1.0986,0.6199,1.3848,1.0337,0.0010000,35066,0.6233,1.3705,1.0296
111,0.5491,1.5804,1.1226,0.6185,1.3851,1.0320,0.0010000,35370,,,
112,0.5535,1.6307,1.1161,0.6193,1.3782,1.0287,0.0010000,35673,,,
113,0.5474,1.6431,1.2078,0.6199,1.3764,1.0278,0.0010000,35977,,,
114,0.5537,1.6689,1.1378,0.6239,1.3726,1.0252,0.0010000,36281,,,
115,0.5583,1.4903,1.0933,0.6231,1.3732,1.0249,0.0010000,36584,,,
116,0.5728,1.5690,1.1402,0.6271,1.3676,1.0214,0.0007386,36887,,,
117,0.5807,1.6356,1.0912,0.6263,1.3644,1.0178,0.0007386,37190,,,
118,0.5770,1.8220,1.1136,0.6283,1.3597,1.0124,0.0007386,37494,,,
119,0.5807,1.2802,0.9926,0.6293,1.3566,1.0103,0.0007386,37798,,,
120,0.5843,1.4589,0.9740,0.6235,1.3520,1.0078,0.0007386,38140,0.6317,1.3329,1.0003
121,0.5802,1.5506,1.0528,0.6225,1.3489,1.0070,0.0007386,38444,,,
122,0.5856,1.6019,1.0978,0.6241,1.3493,1.0065,0.0007386,38747,,,
123,0.5851,1.3579,1.0754,0.6265,1.3442,1.0020,0.0007386,39051,,,
124,0.5891,1.4610,1.0838,0.6257,1.3425,0.9995,0.0007386,39354,,,
125,0.5907,1.3165,1.0756,0.6283,1.3379,0.9957,0.0007386,39658,,,
126,0.5889,1.4286,1.0559,0.6271,1.3383,0.9937,0.0007386,39961,,,
127,0.5923,1.8383,1.2359,0.6301,1.3351,0.9919,0.0007386,40264,,,
128,0.5972,1.2147,0.9720,0.6297,1.3331,0.9895,0.0007386,40567,,,
129,0.5946,1.1574,0.8410,0.6279,1.3327,0.9881,0.0007386,40870,,,
130,0.5977,1.1642,0.8966,0.6309,1.3341,0.9882,0.0007386,41212,0.6337,1.3312,0.9856
131,0.6091,1.2165,0.9865,0.6309,1.3338,0.9870,0.0005455,41515,,,
132,0.6105,1.4367,1.1206,0.6329,1.3259,0.9835,0.0005455,41819,,,
133,0.6124,1.4968,1.0415,0.6341,1.3227,0.9816,0.0005455,42122,,,
134,0.6206,1.3766,1.0407,0.6341,1.3193,0.9795,0.0005455,42425,,,
135,0.6196,1.3127,0.9524,0.6371,1.3172,0.9774,0.0005455,42729,,,
136,0.6270,1.6801,1.0003,0.6375,1.3165,0.9763,0.0005455,43032,,,
137,0.6250,1.1844,0.8932,0.6373,1.3145,0.9738,0.0005455,43336,,,
138,0.6325,1.5084,1.0436,0.6367,1.3165,0.9723,0.0005455,43639,,,
139,0.6159,1.3481,1.0813,0.6377,1.3164,0.9695,0.0005455,43943,,,
140,0.6220,1.4881,1.0707,0.6391,1.3142,0.9667,0.0005455,44287,0.6419,1.3010,0.9614
141,0.6306,1.5060,0.9755,0.6377,1.3159,0.9650,0.0005455,44590,,,
142,0.6262,1.1472,0.8455,0.6369,1.3174,0.9647,0.0005455,44894,,,
143,0.6284,1.1081,0.8992,0.6349,1.3161,0.9624,0.0005455,45198,,,
144,0.6169,1.2049,0.9780,0.6373,1.3152,0.9604,0.0005455,45501,,,
145,0.6198,1.9001,1.2307,0.6385,1.3141,0.9600,0.0005455,45805,,,
146,0.6395,0.9120,0.8449,0.6395,1.3134,0.9572,0.0004029,46109,,,
147,0.6408,1.2873,1.0093,0.6411,1.3122,0.9551,0.0004029,46413,,,
148,0.6402,1.1884,0.8770,0.6417,1.3117,0.9542,0.0004029,46717,,,
149,0.6379,1.2124,0.9922,0.6399,1.3100,0.9538,0.0004029,47021,,,
150,0.6454,1.1236,0.8512,0.6387,1.3088,0.9522,0.0004029,47365,0.6477,1.2861,0.9469
151,0.6405,1.6861,1.0792,0.6393,1.3066,0.9505,0.0004029,47669,,,
152,0.6508,1.2199,0.9324,0.6407,1.3057,0.9481,0.0004029,47973,,,
153,0.6494,1.2217,0.8954,0.6405,1.3063,0.9484,0.0004029,48278,,,
154,0.6481,1.1855,0.8811,0.6421,1.3047,0.9462,0.0004029,48583,,,
155,0.6514,1.1276,0.9422,0.6405,1.3045,0.9435,0.0004029,48888,,,
156,0.6491,1.6159,1.0150,0.6411,1.3042,0.9433,0.0004029,49192,,,
157,0.6466,1.1811,0.8586,0.6435,1.3013,0.9428,0.0004029,49497,,,
158,0.6486,1.4837,0.9660,0.6459,1.2980,0.9404,0.0004029,49802,,,
159,0.6547,0.9126,0.6752,0.6485,1.2971,0.9384,0.0004029,50107,,,
160,0.6465,1.0633,0.8610,0.6493,1.2964,0.9369,0.0004029,50452,0.6459,1.2845,0.9337
161,0.6623,0.8701,0.8155,0.6499,1.2932,0.9349,0.0002976,50757,,,
162,0.6625,1.3686,0.8618,0.6467,1.2930,0.9344,0.0002976,51061,,,
163,0.6582,0.7793,0.7380,0.6485,1.2925,0.9335,0.0002976,51366,,,
164,0.6575,0.8967,0.7608,0.6463,1.2940,0.9335,0.0002976,51671,,,
165,0.6639,1.1478,0.8548,0.6483,1.2932,0.9330,0.0002976,51976,,,
166,0.6703,1.1665,0.8657,0.6479,1.2948,0.9338,0.0002976,52282,,,
167,0.6690,1.0302,0.7492,0.6477,1.2968,0.9331,0.0002976,52587,,,
168,0.6655,1.2112,0.8440,0.6489,1.2992,0.9333,0.0002976,52892,,,
169,0.6635,1.1557,0.8254,0.6461,1.2990,0.9336,0.0002976,53197,,,
170,0.6631,1.0345,0.8585,0.6443,1.3000,0.9333,0.0002976,53542,0.6489,1.2854,0.9279
171,0.6624,1.2123,0.8690,0.6427,1.3020,0.9335,0.0002976,53847,,,
172,0.6597,1.3995,0.9178,0.6419,1.3020,0.9335,0.0002976,54153,,,
173,0.6645,0.9040,0.7219,0.6441,1.3039,0.9327,0.0002976,54458,,,
174,0.6681,1.2611,0.8350,0.6449,1.3018,0.9313,0.0002976,54764,,,
175,0.6730,1.0591,0.9034,0.6455,1.3005,0.9311,0.0002976,55069,,,
176,0.6816,1.0347,0.9049,0.6463,1.2997,0.9300,0.0002198,55375,,,
177,0.6725,0.8772,0.6628,0.6463,1.2989,0.9288,0.0002198,55680,,,
178,0.6759,1.2733,1.0144,0.6447,1.3016,0.9285,0.0002198,55986,,,
179,0.6792,0.8921,0.7999,0.6435,1.3033,0.9280,0.0002198,56292,,,
180,0.6768,1.2005,0.8699,0.6451,1.3020,0.9269,0.0002198,56637,0.6507,1.2834,0.9179
181,0.6791,0.9190,0.8026,0.6471,1.3012,0.9256,0.0002198,56943,,,
182,0.6759,1.1310,0.8510,0.6475,1.2994,0.9244,0.0002198,57249,,,
183,0.6775,1.0171,0.9271,0.6493,1.2999,0.9238,0.0002198,57555,,,
184,0.6776,1.1322,0.8266,0.6509,1.2994,0.9225,0.0002198,57861,,,
185,0.6756,1.2193,0.8669,0.6499,1.2994,0.9217,0.0002198,58167,,,
186,0.6813,1.1033,0.8968,0.6491,1.2982,0.9206,0.0002198,58473,,,
187,0.6852,0.9411,0.7114,0.6471,1.2995,0.9207,0.0002198,58779,,,
188,0.6856,1.1629,0.8969,0.6477,1.2992,0.9202,0.0002198,59086,,,
189,0.6858,0.7330,0.6780,0.6469,1.2995,0.9193,0.0002198,59392,,,
