epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4409,1.3487,1.2793,0.5128,1.3659,1.2313,0.0010000,251,,,
2,0.5188,1.3475,1.2092,0.5311,1.3172,1.2117,0.0010000,499,,,
3,0.5715,1.2820,1.1626,0.5512,1.2677,1.1853,0.0010000,740,,,
4,0.6017,0.9474,0.9319,0.5732,1.2103,1.1580,0.0010000,981,,,
5,0.6232,0.9755,0.9466,0.5974,1.1487,1.1265,0.0010000,1221,,,
6,0.6472,1.2598,1.0314,0.6253,1.0852,1.0877,0.0010000,1456,,,
7,0.6660,0.9426,0.9205,0.6512,1.0219,1.0453,0.0010000,1692,,,
8,0.6762,0.7616,0.6994,0.6794,0.9513,0.9872,0.0010000,1925,,,
9,0.6822,0.6782,0.6761,0.7046,0.8756,0.9154,0.0010000,2159,,,
10,0.7011,0.7714,0.7486,0.7248,0.8081,0.8419,0.0010000,2465,0.7175,0.8264,0.8496
11,0.7098,1.0913,0.9308,0.7422,0.7479,0.7680,0.0009044,2697,,,
12,0.7169,0.8206,0.7408,0.7552,0.7062,0.7126,0.0009044,2930,,,
13,0.7190,0.7895,0.7742,0.7664,0.6762,0.6733,0.0009044,3161,,,
14,0.7251,0.5131,0.5909,0.7746,0.6543,0.6456,0.0009044,3390,,,
15,0.7343,0.7156,0.6565,0.7835,0.6351,0.6236,0.0009044,3621,,,
16,0.7398,0.5676,0.5932,0.7899,0.6167,0.6035,0.0009044,3850,,,
17,0.7354,0.9040,0.7562,0.7940,0.6058,0.5862,0.0009044,4078,,,
18,0.7453,0.6527,0.6508,0.7975,0.5951,0.5735,0.0009044,4307,,,
19,0.7467,0.6894,0.6536,0.8033,0.5864,0.5651,0.0009044,4536,,,
20,0.7494,0.9165,0.7498,0.8069,0.5743,0.5526,0.0009044,4836,0.8005,0.5967,0.5640
21,0.7593,0.5340,0.5212,0.8070,0.5668,0.5413,0.0008179,5064,,,
22,0.7599,0.7276,0.6501,0.8114,0.5568,0.5308,0.0008179,5291,,,
23,0.7604,0.7463,0.7539,0.8143,0.5503,0.5241,0.0008179,5519,,,
24,0.7634,0.6217,0.6001,0.8181,0.5429,0.5168,0.0008179,5749,,,
25,0.7706,0.7318,0.7501,0.8196,0.5363,0.5103,0.0008179,5980,,,
26,0.7670,0.6513,0.6722,0.8232,0.5310,0.5053,0.0008179,6210,,,
27,0.7788,0.7259,0.6817,0.8240,0.5271,0.5002,0.0008179,6439,,,
28,0.7781,0.5356,0.4824,0.8241,0.5225,0.4945,0.0008179,6669,,,
29,0.7813,0.5078,0.5013,0.8262,0.5184,0.4876,0.0008179,6898,,,
30,0.7773,0.3900,0.4696,0.8272,0.5141,0.4842,0.0008179,7198,0.8226,0.5410,0.4960
31,0.7769,0.5319,0.4868,0.8275,0.5092,0.4813,0.0007397,7424,,,
32,0.7879,0.4557,0.5466,0.8287,0.5053,0.4781,0.0007397,7650,,,
33,0.7868,0.9219,0.6390,0.8290,0.5035,0.4740,0.0007397,7879,,,
34,0.7914,0.5466,0.4878,0.8312,0.5018,0.4701,0.0007397,8106,,,
35,0.7994,0.5409,0.5587,0.8290,0.4994,0.4665,0.0007397,8332,,,
36,0.7945,0.7609,0.5809,0.8301,0.4973,0.4626,0.0007397,8560,,,
37,0.7966,0.4431,0.4601,0.8325,0.4936,0.4599,0.0007397,8786,,,
38,0.7929,0.4742,0.5038,0.8338,0.4941,0.4578,0.0007397,9015,,,
39,0.7945,0.7278,0.5975,0.8343,0.4913,0.4560,0.0007397,9241,,,
40,0.7965,0.5123,0.4948,0.8339,0.4902,0.4531,0.0007397,9539,0.8314,0.5192,0.4655
41,0.7994,0.5399,0.5886,0.8355,0.4909,0.4507,0.0006690,9770,,,
42,0.8010,0.5826,0.5029,0.8361,0.4886,0.4490,0.0006690,9998,,,
43,0.8049,0.6141,0.4905,0.8381,0.4817,0.4451,0.0006690,10228,,,
44,0.7943,0.2993,0.3663,0.8381,0.4788,0.4439,0.0006690,10454,,,
45,0.8050,0.6520,0.6254,0.8397,0.4770,0.4412,0.0006690,10683,,,
46,0.8081,0.6864,0.5925,0.8406,0.4742,0.4398,0.0006690,10912,,,
47,0.8114,0.5891,0.6291,0.8412,0.4733,0.4383,0.0006690,11135,,,
48,0.8106,0.5571,0.5974,0.8418,0.4714,0.4368,0.0006690,11359,,,
49,0.8042,0.6887,0.6187,0.8425,0.4705,0.4353,0.0006690,11588,,,
50,0.8132,0.3607,0.4577,0.8434,0.4688,0.4337,0.0006690,11884,0.8391,0.4996,0.4462
