epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4171,1.6577,1.3310,0.4635,1.8321,1.1662,0.0004000,87,,,
2,0.4818,1.3891,1.2844,0.4742,1.7790,1.1481,0.0004000,174,,,
3,0.5320,1.2883,1.2046,0.4884,1.7207,1.1227,0.0004000,262,,,
4,0.5696,1.1522,1.1293,0.5042,1.6702,1.0946,0.0004000,349,,,
5,0.5948,1.2249,1.0784,0.5182,1.6219,1.0636,0.0004000,435,,,
6,0.6142,1.0524,0.8986,0.5333,1.5695,1.0292,0.0004000,523,,,
7,0.6189,0.9402,0.8512,0.5535,1.5178,0.9953,0.0004000,610,,,
8,0.6356,0.8335,0.8532,0.5688,1.4713,0.9585,0.0004000,695,,,
9,0.6423,1.0138,1.0418,0.5885,1.4250,0.9179,0.0004000,781,,,
10,0.6487,0.7366,0.7337,0.6098,1.3626,0.8713,0.0004000,885,0.6012,1.3956,0.8834
11,0.6673,1.2051,1.0433,0.6296,1.3131,0.8274,0.0003804,970,,,
12,0.6809,0.8735,0.7773,0.6458,1.2797,0.7919,0.0003804,1055,,,
13,0.6752,0.7433,0.7786,0.6599,1.2267,0.7583,0.0003804,1140,,,
14,0.6899,1.0829,0.9134,0.6740,1.1774,0.7295,0.0003804,1225,,,
15,0.6854,1.0533,0.8372,0.6847,1.1321,0.7067,0.0003804,1310,,,
16,0.6868,0.9501,0.8298,0.6969,1.0834,0.6829,0.0003804,1395,,,
17,0.6990,0.8180,0.8164,0.7053,1.0569,0.6657,0.0003804,1480,,,
18,0.7043,0.8641,0.8431,0.7135,1.0435,0.6513,0.0003804,1565,,,
19,0.7042,0.8026,0.6998,0.7161,1.0290,0.6415,0.0003804,1650,,,
20,0.7094,0.8300,0.7798,0.7188,1.0199,0.6342,0.0003804,1754,0.7105,1.0678,0.6529
21,0.7157,0.8064,0.7594,0.7242,1.0071,0.6242,0.0003618,1839,,,
22,0.7207,0.9445,0.7938,0.7290,0.9886,0.6138,0.0003618,1924,,,
23,0.7185,0.8548,0.7623,0.7341,0.9740,0.6059,0.0003618,2008,,,
24,0.7182,0.7282,0.6998,0.7336,0.9764,0.6039,0.0003618,2093,,,
25,0.7252,0.7558,0.6946,0.7355,0.9672,0.5978,0.0003618,2178,,,
26,0.7225,0.6955,0.6874,0.7380,0.9562,0.5903,0.0003618,2263,,,
27,0.7270,0.6076,0.6035,0.7388,0.9616,0.5881,0.0003618,2348,,,
28,0.7326,0.7573,0.7677,0.7424,0.9518,0.5832,0.0003618,2432,,,
29,0.7350,0.7939,0.7115,0.7467,0.9292,0.5738,0.0003618,2517,,,
30,0.7339,0.6599,0.6029,0.7509,0.9131,0.5668,0.0003618,2621,0.7456,0.9626,0.5808
31,0.7437,0.9630,0.8127,0.7547,0.9038,0.5609,0.0003442,2705,,,
32,0.7427,0.6493,0.6073,0.7574,0.8959,0.5582,0.0003442,2790,,,
33,0.7497,0.8127,0.7295,0.7572,0.8931,0.5543,0.0003442,2874,,,
34,0.7478,0.7355,0.7186,0.7625,0.8773,0.5470,0.0003442,2959,,,
35,0.7484,0.3767,0.4651,0.7622,0.8786,0.5458,0.0003442,3043,,,
36,0.7521,0.5593,0.5215,0.7637,0.8730,0.5424,0.0003442,3128,,,
37,0.7552,0.6407,0.5887,0.7651,0.8656,0.5386,0.0003442,3212,,,
38,0.7573,0.7810,0.7140,0.7662,0.8660,0.5367,0.0003442,3297,,,
39,0.7504,1.0619,0.7432,0.7643,0.8741,0.5378,0.0003442,3381,,,
40,0.7568,0.6706,0.6242,0.7629,0.8770,0.5388,0.0003442,3484,0.7565,0.9394,0.5569
41,0.7630,0.7571,0.6456,0.7669,0.8612,0.5323,0.0003273,3569,,,
42,0.7660,0.6620,0.6535,0.7681,0.8596,0.5303,0.0003273,3653,,,
43,0.7670,0.4482,0.4978,0.7680,0.8607,0.5296,0.0003273,3738,,,
44,0.7714,0.6051,0.6063,0.7688,0.8592,0.5274,0.0003273,3822,,,
45,0.7626,0.7869,0.7310,0.7685,0.8559,0.5260,0.0003273,3907,,,
46,0.7802,0.7144,0.5937,0.7708,0.8489,0.5218,0.0003273,3991,,,
47,0.7713,0.7973,0.6801,0.7741,0.8322,0.5157,0.0003273,4075,,,
48,0.7722,0.5143,0.5523,0.7760,0.8277,0.5131,0.0003273,4160,,,
49,0.7705,0.7388,0.6030,0.7798,0.8084,0.5055,0.0003273,4244,,,
50,0.7716,0.7653,0.6758,0.7839,0.7986,0.5008,0.0003273,4347,0.7760,0.8667,0.5219
51,0.7783,0.7206,0.6579,0.7825,0.7983,0.5008,0.0003113,4432,,,
52,0.7749,0.7590,0.7482,0.7822,0.7972,0.5000,0.0003113,4516,,,
53,0.7864,0.4779,0.4903,0.7847,0.7922,0.4961,0.0003113,4601,,,
54,0.7814,0.6066,0.5066,0.7846,0.7901,0.4939,0.0003113,4685,,,
55,0.7811,0.5843,0.5206,0.7890,0.7779,0.4880,0.0003113,4770,,,
56,0.7851,0.7029,0.6901,0.7892,0.7801,0.4886,0.0003113,4854,,,
57,0.7853,0.2918,0.3139,0.7902,0.7787,0.4871,0.0003113,4938,,,
58,0.7841,0.4945,0.5419,0.7906,0.7757,0.4859,0.0003113,5023,,,
59,0.7874,0.4922,0.4744,0.7925,0.7722,0.4840,0.0003113,5107,,,
60,0.7870,0.6722,0.5655,0.7919,0.7761,0.4844,0.0003113,5210,0.7843,0.8447,0.5030
61,0.7901,0.3743,0.4287,0.7933,0.7746,0.4829,0.0002961,5294,,,
62,0.7845,0.5673,0.5619,0.7928,0.7734,0.4811,0.0002961,5378,,,
63,0.7920,0.7512,0.6637,0.7943,0.7674,0.4792,0.0002961,5463,,,
64,0.7928,0.4973,0.4731,0.7963,0.7664,0.4778,0.0002961,5547,,,
65,0.7929,0.4913,0.4260,0.7944,0.7706,0.4773,0.0002961,5631,,,
66,0.7875,0.6286,0.5846,0.7997,0.7540,0.4723,0.0002961,5715,,,
67,0.7911,0.7202,0.5387,0.8010,0.7468,0.4695,0.0002961,5799,,,
68,0.7934,0.5331,0.4428,0.8031,0.7382,0.4654,0.0002961,5884,,,
69,0.7925,0.8142,0.6960,0.8041,0.7379,0.4655,0.0002961,5968,,,
70,0.7939,0.5788,0.5277,0.8045,0.7308,0.4638,0.0002961,6071,0.7942,0.7914,0.4826
71,0.7949,0.4310,0.5019,0.8037,0.7300,0.4631,0.0002816,6155,,,
72,0.7962,0.6088,0.5465,0.8080,0.7134,0.4573,0.0002816,6240,,,
73,0.7968,0.5239,0.5176,0.8092,0.7034,0.4542,0.0002816,6324,,,
74,0.7996,0.5317,0.4608,0.8122,0.6911,0.4507,0.0002816,6408,,,
75,0.7970,0.4351,0.4587,0.8123,0.6849,0.4497,0.0002816,6492,,,
76,0.8009,0.4344,0.4328,0.8139,0.6788,0.4481,0.0002816,6577,,,
77,0.7986,0.3627,0.4151,0.8140,0.6780,0.4472,0.0002816,6661,,,
78,0.8085,0.5018,0.4643,0.8133,0.6783,0.4477,0.0002816,6745,,,
79,0.8065,0.4430,0.3985,0.8140,0.6763,0.4466,0.0002816,6829,,,
80,0.8060,0.7166,0.5702,0.8159,0.6740,0.4454,0.0002816,6933,0.8061,0.7417,0.4622
81,0.8062,0.7097,0.6099,0.8146,0.6744,0.4455,0.0002679,7017,,,
82,0.8069,0.5127,0.5077,0.8121,0.6839,0.4481,0.0002679,7101,,,
83,0.8013,0.7759,0.7433,0.8125,0.6876,0.4488,0.0002679,7185,,,
84,0.8075,0.4145,0.4631,0.8122,0.6874,0.4485,0.0002679,7269,,,
85,0.8031,0.6976,0.6445,0.8123,0.6847,0.4470,0.0002679,7354,,,
86,0.8093,0.6305,0.5431,0.8129,0.6913,0.4484,0.0002679,7438,,,
87,0.8132,0.3653,0.4303,0.8143,0.6833,0.4453,0.0002679,7523,,,
88,0.8101,0.5810,0.5535,0.8144,0.6816,0.4443,0.0002679,7607,,,
89,0.8074,0.6694,0.6168,0.8149,0.6801,0.4432,0.0002679,7692,,,
90,0.8156,0.3041,0.3608,0.8147,0.6847,0.4426,0.0002679,7795,0.8079,0.7404,0.4587
91,0.8145,0.3853,0.4281,0.8156,0.6804,0.4402,0.0002548,7880,,,
92,0.8122,0.5757,0.4885,0.8182,0.6754,0.4382,0.0002548,7964,,,
93,0.8207,0.3192,0.3879,0.8176,0.6732,0.4365,0.0002548,8049,,,
94,0.8165,0.6043,0.5164,0.8176,0.6730,0.4359,0.0002548,8133,,,
95,0.8171,0.4040,0.4388,0.8187,0.6745,0.4359,0.0002548,8218,,,
96,0.8194,0.4469,0.4480,0.8195,0.6726,0.4353,0.0002548,8303,,,
97,0.8104,0.8007,0.6450,0.8178,0.6742,0.4360,0.0002548,8387,,,
98,0.8148,0.5848,0.4506,0.8194,0.6688,0.4331,0.0002548,8471,,,
99,0.8180,0.5381,0.5016,0.8204,0.6595,0.4301,0.0002548,8555,,,
100,0.8154,0.4123,0.4251,0.8216,0.6489,0.4281,0.0002548,8658,0.8181,0.7071,0.4422
101,0.8213,0.5329,0.4741,0.8235,0.6402,0.4244,0.0002423,8743,,,
102,0.8223,0.5020,0.5025,0.8237,0.6399,0.4231,0.0002423,8827,,,
103,0.8201,0.5768,0.5675,0.8242,0.6325,0.4205,0.0002423,8911,,,
104,0.8223,0.4154,0.3647,0.8254,0.6263,0.4183,0.0002423,8996,,,
105,0.8236,0.7436,0.5645,0.8260,0.6223,0.4165,0.0002423,9080,,,
106,0.8262,0.5262,0.4600,0.8273,0.6210,0.4158,0.0002423,9164,,,
107,0.8217,0.4330,0.4138,0.8273,0.6187,0.4150,0.0002423,9248,,,
108,0.8228,0.2567,0.2947,0.8277,0.6163,0.4141,0.0002423,9333,,,
109,0.8155,0.2318,0.2765,0.8267,0.6171,0.4143,0.0002423,9417,,,
110,0.8205,0.5463,0.5583,0.8285,0.6198,0.4137,0.0002423,9520,0.8259,0.6822,0.4297
111,0.8243,0.6668,0.6486,0.8285,0.6172,0.4131,0.0002305,9604,,,
112,0.8370,0.2972,0.3824,0.8305,0.6072,0.4101,0.0002305,9688,,,
113,0.8235,0.5158,0.4449,0.8316,0.6053,0.4095,0.0002305,9773,,,
114,0.8256,0.5394,0.4399,0.8309,0.6099,0.4103,0.0002305,9857,,,
115,0.8260,0.5454,0.5094,0.8305,0.6116,0.4106,0.0002305,9941,,,
116,0.8194,0.4565,0.3994,0.8318,0.6084,0.4092,0.0002305,10025,,,
117,0.8290,0.6113,0.5509,0.8304,0.6091,0.4095,0.0002305,10110,,,
118,0.8310,0.4147,0.4599,0.8331,0.6049,0.4076,0.0002305,10194,,,
119,0.8303,0.3009,0.3352,0.8310,0.6095,0.4090,0.0002305,10278,,,
120,0.8291,0.3380,0.3348,0.8318,0.6078,0.4093,0.0002305,10381,0.8277,0.6696,0.4221
121,0.8312,0.5064,0.3626,0.8309,0.6128,0.4107,0.0002192,10466,,,
122,0.8303,0.5273,0.5066,0.8305,0.6182,0.4117,0.0002192,10550,,,
123,0.8260,0.4484,0.4462,0.8310,0.6209,0.4120,0.0002192,10635,,,
124,0.8283,0.5984,0.4600,0.8315,0.6165,0.4107,0.0002192,10719,,,
125,0.8321,0.3555,0.3686,0.8342,0.6100,0.4086,0.0002192,10803,,,
126,0.8284,0.6399,0.6498,0.8343,0.6082,0.4074,0.0002192,10888,,,
127,0.8306,0.5262,0.4823,0.8334,0.6114,0.4085,0.0002192,10972,,,
128,0.8354,0.5576,0.4772,0.8327,0.6156,0.4097,0.0002192,11057,,,
129,0.8328,0.5047,0.4753,0.8325,0.6125,0.4081,0.0002192,11141,,,
130,0.8354,0.3443,0.3628,0.8340,0.6119,0.4067,0.0002192,11245,0.8305,0.6750,0.4193
131,0.8303,0.4863,0.4556,0.8360,0.6086,0.4049,0.0002085,11329,,,
132,0.8336,0.4458,0.4193,0.8354,0.6062,0.4048,0.0002085,11414,,,
133,0.8377,0.5857,0.4979,0.8357,0.6064,0.4047,0.0002085,11498,,,
134,0.8381,0.3740,0.3888,0.8364,0.6062,0.4043,0.0002085,11583,,,
135,0.8407,0.4210,0.4086,0.8363,0.6119,0.4051,0.0002085,11667,,,
136,0.8342,0.3852,0.4119,0.8344,0.6124,0.4054,0.0002085,11751,,,
137,0.8400,0.3846,0.3810,0.8373,0.6073,0.4023,0.0002085,11836,,,
138,0.8354,0.4852,0.4438,0.8365,0.6068,0.4026,0.0002085,11920,,,
139,0.8354,0.3466,0.3648,0.8370,0.6021,0.4004,0.0002085,12004,,,
140,0.8392,0.6104,0.5521,0.8368,0.6045,0.4006,0.0002085,12107,0.8332,0.6692,0.4152
141,0.8404,0.5643,0.4632,0.8358,0.6039,0.4012,0.0001983,12191,,,
142,0.8334,0.4692,0.4796,0.8356,0.6076,0.4016,0.0001983,12275,,,
143,0.8417,0.5125,0.3752,0.8356,0.6048,0.4007,0.0001983,12359,,,
144,0.8394,0.4239,0.3695,0.8359,0.6051,0.4015,0.0001983,12444,,,
145,0.8447,0.7102,0.5564,0.8364,0.6025,0.4013,0.0001983,12528,,,
146,0.8450,0.5113,0.3854,0.8364,0.6029,0.4011,0.0001983,12612,,,
147,0.8425,0.3862,0.4017,0.8360,0.6029,0.4013,0.0001983,12696,,,
148,0.8447,0.4818,0.4500,0.8368,0.6000,0.4003,0.0001983,12781,,,
149,0.8443,0.3592,0.3905,0.8359,0.6014,0.4017,0.0001983,12865,,,
150,0.8413,0.5088,0.4866,0.8384,0.5940,0.3991,0.0001983,12968,0.8337,0.6635,0.4108
151,0.8363,0.3851,0.4085,0.8366,0.5927,0.3990,0.0001886,13052,,,
152,0.8414,0.4451,0.3831,0.8367,0.5930,0.3993,0.0001886,13136,,,
153,0.8424,0.3945,0.3758,0.8369,0.5932,0.3997,0.0001886,13221,,,
154,0.8407,0.4503,0.4285,0.8381,0.5884,0.3979,0.0001886,13305,,,
155,0.8438,0.2700,0.2850,0.8380,0.5878,0.3983,0.0001886,13390,,,
156,0.8465,0.5330,0.5266,0.8384,0.5841,0.3969,0.0001886,13474,,,
157,0.8425,0.4076,0.4346,0.8383,0.5843,0.3975,0.0001886,13558,,,
158,0.8414,0.3761,0.3430,0.8388,0.5849,0.3977,0.0001886,13642,,,
159,0.8505,0.2349,0.2878,0.8390,0.5820,0.3956,0.0001886,13727,,,
160,0.8509,0.4196,0.4186,0.8367,0.5923,0.3985,0.0001886,13830,0.8328,0.6566,0.4089
161,0.8493,0.5175,0.4473,0.8384,0.5924,0.3974,0.0001794,13915,,,
162,0.8446,0.4983,0.3572,0.8402,0.5895,0.3965,0.0001794,13999,,,
163,0.8537,0.4076,0.4630,0.8394,0.5888,0.3962,0.0001794,14083,,,
164,0.8485,0.2971,0.3338,0.8400,0.5929,0.3973,0.0001794,14167,,,
165,0.8453,0.5495,0.4167,0.8393,0.5935,0.3965,0.0001794,14252,,,
166,0.8493,0.3365,0.3118,0.8408,0.5922,0.3951,0.0001794,14336,,,
167,0.8486,0.3889,0.3970,0.8422,0.5842,0.3928,0.0001794,14421,,,
168,0.8488,0.5183,0.4561,0.8427,0.5808,0.3911,0.0001794,14505,,,
169,0.8465,0.4495,0.4617,0.8424,0.5815,0.3919,0.0001794,14590,,,
170,0.8506,0.2904,0.3102,0.8441,0.5721,0.3890,0.0001794,14693,0.8387,0.6355,0.3998
171,0.8498,0.4343,0.4039,0.8441,0.5700,0.3882,0.0001706,14778,,,
172,0.8497,0.3672,0.4053,0.8440,0.5689,0.3872,0.0001706,14862,,,
173,0.8470,0.4567,0.4441,0.8441,0.5677,0.3864,0.0001706,14946,,,
174,0.8541,0.3344,0.3811,0.8451,0.5652,0.3852,0.0001706,15030,,,
175,0.8458,0.4942,0.4283,0.8453,0.5650,0.3854,0.0001706,15114,,,
176,0.8478,0.2716,0.3435,0.8457,0.5631,0.3853,0.0001706,15199,,,
177,0.8552,0.3539,0.3630,0.8463,0.5669,0.3856,0.0001706,15283,,,
178,0.8506,0.3759,0.3705,0.8465,0.5690,0.3868,0.0001706,15368,,,
179,0.8591,0.2797,0.3165,0.8454,0.5663,0.3859,0.0001706,15452,,,
180,0.8498,0.5597,0.5033,0.8449,0.5719,0.3875,0.0001706,15555,0.8387,0.6347,0.3979
181,0.8554,0.3322,0.3013,0.8443,0.5738,0.3877,0.0001623,15639,,,
182,0.8534,0.3510,0.3277,0.8453,0.5741,0.3880,0.0001623,15724,,,
183,0.8505,0.4037,0.3702,0.8442,0.5754,0.3881,0.0001623,15808,,,
184,0.8537,0.4400,0.4440,0.8454,0.5757,0.3881,0.0001623,15892,,,
185,0.8559,0.7061,0.4460,0.8461,0.5700,0.3860,0.0001623,15977,,,
186,0.8527,0.2915,0.3055,0.8464,0.5691,0.3857,0.0001623,16061,,,
187,0.8489,0.5564,0.5141,0.8449,0.5694,0.3860,0.0001623,16145,,,
188,0.8528,0.2713,0.2735,0.8453,0.5689,0.3853,0.0001623,16230,,,
189,0.8501,0.4896,0.5027,0.8455,0.5738,0.3869,0.0001623,16314,,,
190,0.8608,0.4252,0.3916,0.8453,0.5695,0.3856,0.0001623,16417,0.8393,0.6274,0.3969
191,0.8537,0.3792,0.3802,0.8453,0.5710,0.3862,0.0001543,16501,,,
192,0.8611,0.4206,0.4032,0.8461,0.5723,0.3857,0.0001543,16585,,,
193,0.8517,0.3485,0.4140,0.8461,0.5708,0.3851,0.0001543,16670,,,
194,0.8568,0.5267,0.4475,0.8450,0.5725,0.3865,0.0001543,16754,,,
195,0.8524,0.3479,0.3826,0.8437,0.5763,0.3872,0.0001543,16838,,,
196,0.8636,0.3653,0.2662,0.8431,0.5774,0.3872,0.0001543,16922,,,
197,0.8539,0.4849,0.4189,0.8429,0.5754,0.3860,0.0001543,17006,,,
198,0.8586,0.2573,0.2989,0.8421,0.5781,0.3864,0.0001543,17090,,,
199,0.8566,0.2409,0.2501,0.8431,0.5774,0.3859,0.0001543,17175,,,
200,0.8587,0.4275,0.4065,0.8430,0.5783,0.3854,0.0001543,17277,0.8397,0.6353,0.3968
201,0.8627,0.4836,0.4651,0.8441,0.5750,0.3839,0.0001468,17362,,,
202,0.8585,0.3699,0.3548,0.8431,0.5746,0.3842,0.0001468,17446,,,
203,0.8588,0.4197,0.3793,0.8435,0.5751,0.3842,0.0001468,17530,,,
204,0.8545,0.4851,0.3900,0.8444,0.5729,0.3831,0.0001468,17615,,,
205,0.8564,0.4876,0.4499,0.8439,0.5686,0.3820,0.0001468,17700,,,
206,0.8606,0.4318,0.3582,0.8443,0.5666,0.3817,0.0001468,17784,,,
207,0.8602,0.3817,0.3323,0.8447,0.5678,0.3821,0.0001468,17869,,,
208,0.8598,0.2907,0.3242,0.8453,0.5658,0.3811,0.0001468,17953,,,
209,0.8584,0.4559,0.4915,0.8469,0.5636,0.3801,0.0001468,18038,,,
210,0.8646,0.3179,0.3331,0.8459,0.5663,0.3813,0.0001468,18141,0.8403,0.6244,0.3929
211,0.8618,0.4961,0.4727,0.8460,0.5671,0.3813,0.0001396,18226,,,
212,0.8554,0.5393,0.4369,0.8471,0.5688,0.3814,0.0001396,18310,,,
