epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.2443,1.0284,1.1562,0.5574,0.9408,1.0510,0.0010000,89,,,
2,0.3847,1.2228,1.2279,0.5123,0.9530,1.0590,0.0010000,174,,,
3,0.4986,0.7554,0.9079,0.5410,0.9273,1.0439,0.0010000,256,,,
4,0.5746,0.9501,0.8580,0.5615,0.9037,1.0280,0.0010000,337,,,
5,0.6327,0.6448,0.7179,0.5943,0.8702,1.0019,0.0010000,417,,,
6,0.6849,0.7912,0.9040,0.6270,0.8370,0.9692,0.0010000,495,,,
7,0.7205,0.6766,0.7721,0.6803,0.7907,0.9216,0.0010000,573,,,
8,0.7015,0.8199,0.8903,0.6311,0.8009,0.9269,0.0010000,650,,,
9,0.7198,0.6609,0.7380,0.6598,0.7645,0.8859,0.0010000,725,,,
10,0.7354,0.6124,0.6320,0.7090,0.7037,0.8164,0.0010000,807,0.7295,0.7137,0.7980
11,0.7643,0.8330,0.8031,0.7623,0.6274,0.7265,0.0009044,879,,,
12,0.7842,0.5024,0.6098,0.7869,0.5631,0.6414,0.0009044,953,,,
13,0.8006,0.5040,0.5226,0.7869,0.5217,0.5740,0.0009044,1025,,,
14,0.8028,0.4078,0.4614,0.7992,0.4872,0.5201,0.0009044,1098,,,
15,0.8169,0.5095,0.5046,0.8238,0.4591,0.4756,0.0009044,1168,,,
16,0.8231,0.3644,0.4148,0.8402,0.4392,0.4292,0.0009044,1239,,,
17,0.8228,0.5849,0.6631,0.8607,0.4348,0.3998,0.0009044,1309,,,
18,0.8271,0.4385,0.4949,0.8689,0.4259,0.3828,0.0009044,1379,,,
19,0.8341,0.3710,0.4491,0.8689,0.4060,0.3666,0.0009044,1448,,,
20,0.8337,0.3722,0.4423,0.8730,0.3990,0.3567,0.0009044,1524,0.8730,0.3367,0.3439
21,0.8437,0.3617,0.4025,0.8689,0.3904,0.3454,0.0008179,1593,,,
22,0.8559,0.3418,0.3269,0.8689,0.3798,0.3335,0.0008179,1661,,,
23,0.8556,0.3893,0.3644,0.8689,0.3709,0.3246,0.0008179,1729,,,
24,0.8629,0.3352,0.4040,0.8770,0.3662,0.3137,0.0008179,1798,,,
25,0.8687,0.4714,0.4243,0.8811,0.3628,0.3039,0.0008179,1866,,,
26,0.8705,0.2364,0.3462,0.8893,0.3547,0.2965,0.0008179,1933,,,
27,0.8691,0.2594,0.3395,0.8893,0.3575,0.2870,0.0008179,2001,,,
28,0.8718,0.3433,0.3509,0.8934,0.3527,0.2774,0.0008179,2068,,,
29,0.8730,0.2223,0.2896,0.8893,0.3530,0.2733,0.0008179,2135,,,
30,0.8739,0.4319,0.4347,0.8975,0.3502,0.2677,0.0008179,2207,0.8934,0.2662,0.2692
31,0.8836,0.3352,0.3912,0.9016,0.3439,0.2591,0.0007397,2274,,,
32,0.8863,0.5060,0.4175,0.8975,0.3437,0.2564,0.0007397,2340,,,
33,0.8838,0.4195,0.4408,0.9016,0.3423,0.2550,0.0007397,2406,,,
34,0.8871,0.1512,0.1906,0.8975,0.3372,0.2531,0.0007397,2471,,,
35,0.8994,0.1111,0.1716,0.8975,0.3331,0.2497,0.0007397,2535,,,
36,0.8998,0.2644,0.2917,0.9016,0.3397,0.2492,0.0007397,2599,,,
37,0.8963,0.2552,0.3380,0.8975,0.3340,0.2476,0.0007397,2664,,,
38,0.8966,0.1067,0.1681,0.9016,0.3339,0.2467,0.0007397,2728,,,
39,0.8992,0.1817,0.2087,0.9016,0.3303,0.2418,0.0007397,2793,,,
40,0.9020,0.1674,0.2312,0.9016,0.3303,0.2374,0.0007397,2863,0.9221,0.2379,0.2095
41,0.9051,0.2341,0.2658,0.9016,0.3301,0.2334,0.0006690,2926,,,
42,0.9081,0.3303,0.2324,0.9016,0.3370,0.2328,0.0006690,2989,,,
43,0.9106,0.2003,0.2479,0.9057,0.3352,0.2300,0.0006690,3053,,,
44,0.9106,0.2387,0.2962,0.9057,0.3299,0.2259,0.0006690,3117,,,
45,0.9111,0.1384,0.1894,0.9057,0.3289,0.2237,0.0006690,3180,,,
46,0.9103,0.2385,0.2887,0.9139,0.3216,0.2207,0.0006690,3244,,,
47,0.9097,0.1811,0.2081,0.9139,0.3214,0.2161,0.0006690,3307,,,
48,0.9147,0.4291,0.4316,0.9057,0.3305,0.2199,0.0006690,3369,,,
49,0.9218,0.2096,0.2039,0.9057,0.3301,0.2171,0.0006690,3431,,,
50,0.9219,0.1253,0.1558,0.9057,0.3283,0.2149,0.0006690,3501,0.9303,0.2427,0.1877
FINAL TEST,,,,,,,,3507,0.9139,0.2371,0.1987
