epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4109,1.4001,1.3342,0.4950,1.4369,1.3078,0.0010000,404,,,
2,0.5289,1.2291,1.1280,0.5116,1.4006,1.2869,0.0010000,806,,,
3,0.5944,0.9128,0.8821,0.5262,1.3573,1.2604,0.0010000,1210,,,
4,0.6247,0.8761,0.8557,0.5398,1.3060,1.2274,0.0010000,1615,,,
5,0.6688,1.0052,0.9201,0.5665,1.2483,1.1876,0.0010000,2020,,,
6,0.7016,0.9904,0.7582,0.5953,1.1718,1.1328,0.0010000,2425,,,
7,0.7062,0.5972,0.6712,0.6341,1.0869,1.0643,0.0010000,2829,,,
8,0.7364,0.7745,0.7619,0.6689,0.9952,0.9798,0.0010000,3235,,,
9,0.7480,0.9308,0.7771,0.6966,0.9015,0.8816,0.0010000,3639,,,
10,0.7555,0.9667,0.8168,0.7258,0.8029,0.7731,0.0010000,4108,0.7269,0.7872,0.7703
11,0.7594,0.6462,0.6726,0.7520,0.7276,0.6737,0.0010000,4511,,,
12,0.7753,0.6882,0.5995,0.7656,0.6743,0.6078,0.0010000,4913,,,
13,0.7770,0.6237,0.6307,0.7838,0.6348,0.5628,0.0010000,5315,,,
14,0.7861,0.8949,0.6890,0.7928,0.5967,0.5221,0.0010000,5717,,,
15,0.7936,0.5150,0.5058,0.8049,0.5629,0.4888,0.0010000,6118,,,
16,0.8108,0.3292,0.3581,0.8180,0.5349,0.4614,0.0007386,6520,,,
17,0.8201,0.5628,0.5084,0.8291,0.5171,0.4403,0.0007386,6921,,,
18,0.8201,0.4088,0.3561,0.8317,0.5036,0.4241,0.0007386,7324,,,
19,0.8253,0.3352,0.3548,0.8392,0.4885,0.4101,0.0007386,7726,,,
20,0.8295,0.4250,0.4964,0.8448,0.4830,0.3997,0.0007386,8194,0.8401,0.4902,0.4048
21,0.8279,0.4857,0.4125,0.8503,0.4697,0.3876,0.0007386,8596,,,
22,0.8244,0.5425,0.4871,0.8523,0.4575,0.3758,0.0007386,8998,,,
23,0.8308,0.3038,0.3091,0.8569,0.4505,0.3657,0.0007386,9400,,,
24,0.8366,0.4895,0.4773,0.8609,0.4439,0.3572,0.0007386,9802,,,
25,0.8383,0.7381,0.4901,0.8634,0.4415,0.3520,0.0007386,10204,,,
26,0.8386,0.4443,0.4122,0.8609,0.4348,0.3456,0.0007386,10605,,,
27,0.8339,0.5554,0.4903,0.8589,0.4373,0.3458,0.0007386,11006,,,
28,0.8382,0.3361,0.3742,0.8569,0.4492,0.3522,0.0007386,11407,,,
29,0.8303,0.4585,0.4513,0.8271,0.5706,0.4177,0.0007386,11808,,,
30,0.8371,0.4762,0.4089,0.7823,0.7500,0.4983,0.0007386,12274,0.7823,0.7674,0.5119
31,0.8457,0.4815,0.4441,0.7853,0.7902,0.5091,0.0005455,12674,,,
32,0.8490,0.4197,0.3976,0.8110,0.6595,0.4498,0.0005455,13075,,,
33,0.8502,0.4772,0.4341,0.8281,0.5801,0.4120,0.0005455,13476,,,
34,0.8602,0.4807,0.4188,0.8453,0.4998,0.3733,0.0005455,13876,,,
35,0.8576,0.4998,0.4087,0.8695,0.4339,0.3335,0.0005455,14277,,,
36,0.8649,0.4849,0.4154,0.8765,0.4155,0.3178,0.0005455,14678,,,
37,0.8600,0.4167,0.4053,0.8730,0.4171,0.3149,0.0005455,15078,,,
38,0.8589,0.5167,0.5331,0.8735,0.4177,0.3112,0.0005455,15478,,,
39,0.8707,0.2950,0.2984,0.8760,0.4081,0.3059,0.0005455,15879,,,
40,0.8660,0.3015,0.3506,0.8765,0.3977,0.3001,0.0005455,16344,0.8737,0.4139,0.3130
41,0.8696,0.2452,0.2885,0.8765,0.3940,0.2978,0.0005455,16745,,,
42,0.8704,0.4118,0.3996,0.8775,0.3894,0.2951,0.0005455,17145,,,
43,0.8662,0.2812,0.2957,0.8826,0.3828,0.2909,0.0005455,17546,,,
44,0.8675,0.2682,0.2990,0.8861,0.3776,0.2873,0.0005455,17947,,,
45,0.8696,0.2899,0.2952,0.8846,0.3775,0.2860,0.0005455,18346,,,
46,0.8796,0.3091,0.2682,0.8861,0.3739,0.2840,0.0004029,18747,,,
47,0.8869,0.4157,0.3247,0.8841,0.3755,0.2827,0.0004029,19147,,,
48,0.8847,0.3064,0.2909,0.8856,0.3681,0.2791,0.0004029,19547,,,
49,0.8839,0.2732,0.3418,0.8881,0.3689,0.2781,0.0004029,19948,,,
50,0.8892,0.2862,0.3007,0.8891,0.3663,0.2769,0.0004029,20415,0.8825,0.3946,0.2921
51,0.8824,0.4781,0.4452,0.8871,0.3642,0.2757,0.0004029,20816,,,
52,0.8899,0.2867,0.2789,0.8906,0.3543,0.2705,0.0004029,21217,,,
53,0.8899,0.3030,0.2760,0.8906,0.3493,0.2674,0.0004029,21618,,,
54,0.8932,0.4385,0.2840,0.8957,0.3450,0.2658,0.0004029,22019,,,
55,0.8943,0.1890,0.2330,0.8972,0.3411,0.2637,0.0004029,22420,,,
56,0.8968,0.3267,0.3261,0.8997,0.3382,0.2610,0.0004029,22821,,,
57,0.9012,0.3558,0.2755,0.8997,0.3369,0.2593,0.0004029,23221,,,
