epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4507,1.5536,1.4099,0.4700,1.4603,1.3190,0.0010000,466,,,
2,0.5414,1.1925,1.0591,0.4958,1.3935,1.2933,0.0010000,890,,,
3,0.6066,1.1425,0.9999,0.5243,1.3257,1.2576,0.0010000,1306,,,
4,0.6469,0.8442,0.9050,0.5564,1.2512,1.2141,0.0010000,1720,,,
5,0.6734,0.6848,0.6312,0.5884,1.1770,1.1644,0.0010000,2139,,,
6,0.6893,0.8621,0.8900,0.6253,1.0962,1.1062,0.0010000,2565,,,
7,0.6980,0.7020,0.6777,0.6594,1.0117,1.0385,0.0010000,3031,,,
8,0.7313,0.7266,0.7735,0.6896,0.9252,0.9621,0.0010000,3510,,,
9,0.7343,0.7828,0.7841,0.7185,0.8324,0.8768,0.0010000,3970,,,
10,0.7451,0.8302,0.7449,0.7455,0.7470,0.7874,0.0010000,4515,0.7461,0.7565,0.7941
11,0.7337,0.6066,0.5751,0.7749,0.6725,0.7055,0.0010000,4977,,,
12,0.7527,0.5662,0.5428,0.7889,0.6284,0.6517,0.0010000,5436,,,
13,0.7650,0.6852,0.5544,0.8010,0.5951,0.6154,0.0010000,5914,,,
14,0.7609,0.5750,0.5049,0.8110,0.5690,0.5857,0.0010000,6383,,,
15,0.7745,0.8244,0.7273,0.8196,0.5447,0.5604,0.0010000,6841,,,
16,0.7937,0.6035,0.5308,0.8261,0.5249,0.5392,0.0007386,7303,,,
17,0.8083,0.5616,0.6259,0.8318,0.5109,0.5206,0.0007386,7768,,,
18,0.7976,0.5129,0.5442,0.8383,0.4956,0.5040,0.0007386,8238,,,
19,0.8007,0.4525,0.3664,0.8435,0.4769,0.4860,0.0007386,8707,,,
20,0.8078,0.6384,0.4840,0.8471,0.4647,0.4755,0.0007386,9318,0.8416,0.4814,0.4877
21,0.8088,0.4000,0.4850,0.8510,0.4544,0.4638,0.0007386,9837,,,
22,0.8093,0.4908,0.4861,0.8546,0.4453,0.4540,0.0007386,10358,,,
23,0.8154,0.3487,0.4348,0.8557,0.4405,0.4472,0.0007386,10839,,,
24,0.8183,0.4680,0.4151,0.8601,0.4299,0.4374,0.0007386,11314,,,
25,0.8246,0.3130,0.3831,0.8635,0.4235,0.4284,0.0007386,11790,,,
26,0.8246,0.2952,0.3570,0.8649,0.4174,0.4209,0.0007386,12267,,,
27,0.8284,0.3902,0.3321,0.8658,0.4168,0.4174,0.0007386,12747,,,
28,0.8308,0.4072,0.4384,0.8645,0.4123,0.4130,0.0007386,13221,,,
29,0.8283,0.6173,0.5648,0.8659,0.4059,0.4072,0.0007386,13693,,,
30,0.8331,0.3536,0.4252,0.8683,0.4035,0.4030,0.0007386,14256,0.8616,0.4277,0.4170
31,0.8394,0.4831,0.5378,0.8677,0.4028,0.3998,0.0005455,14746,,,
32,0.8479,0.3488,0.3925,0.8708,0.3962,0.3929,0.0005455,15245,,,
33,0.8591,0.6021,0.5598,0.8722,0.3915,0.3880,0.0005455,15755,,,
34,0.8439,0.2401,0.2118,0.8712,0.3911,0.3864,0.0005455,16258,,,
35,0.8540,0.3464,0.3211,0.8726,0.3882,0.3838,0.0005455,16762,,,
36,0.8547,0.4205,0.4617,0.8741,0.3860,0.3807,0.0005455,17271,,,
37,0.8428,0.4386,0.4350,0.8738,0.3823,0.3781,0.0005455,17775,,,
38,0.8549,0.7488,0.5585,0.8769,0.3756,0.3727,0.0005455,18278,,,
39,0.8582,0.2510,0.2986,0.8777,0.3742,0.3716,0.0005455,18784,,,
40,0.8553,0.4550,0.3650,0.8789,0.3705,0.3669,0.0005455,19383,0.8748,0.3879,0.3765
41,0.8607,0.1760,0.2277,0.8811,0.3664,0.3634,0.0005455,19886,,,
42,0.8656,0.6706,0.5891,0.8799,0.3680,0.3629,0.0005455,20388,,,
43,0.8531,0.3719,0.3709,0.8802,0.3670,0.3610,0.0005455,20896,,,
44,0.8610,0.4491,0.4454,0.8821,0.3649,0.3589,0.0005455,21406,,,
45,0.8621,0.5389,0.4349,0.8844,0.3598,0.3555,0.0005455,21920,,,
46,0.8700,0.3465,0.3309,0.8835,0.3609,0.3547,0.0004029,22424,,,
47,0.8691,0.3739,0.4217,0.8853,0.3561,0.3509,0.0004029,22927,,,
48,0.8661,0.4303,0.4169,0.8850,0.3568,0.3502,0.0004029,23429,,,
49,0.8826,0.3319,0.2964,0.8862,0.3545,0.3473,0.0004029,23936,,,
50,0.8806,0.3382,0.3848,0.8855,0.3552,0.3469,0.0004029,24507,0.8777,0.3701,0.3566
51,0.8713,0.4328,0.4081,0.8872,0.3503,0.3436,0.0004029,24991,,,
52,0.8766,0.4491,0.2872,0.8878,0.3462,0.3402,0.0004029,25479,,,
53,0.8801,0.3220,0.3010,0.8894,0.3452,0.3388,0.0004029,25966,,,
54,0.8801,0.3568,0.3336,0.8903,0.3445,0.3374,0.0004029,26454,,,
55,0.8817,0.1637,0.2057,0.8892,0.3443,0.3354,0.0004029,26938,,,
56,0.8758,0.1541,0.1837,0.8917,0.3400,0.3316,0.0004029,27409,,,
57,0.8833,0.3333,0.3697,0.8915,0.3393,0.3301,0.0004029,27869,,,
58,0.8839,0.4220,0.3303,0.8918,0.3366,0.3277,0.0004029,28326,,,
59,0.8855,0.3275,0.2781,0.8923,0.3359,0.3258,0.0004029,28783,,,
60,0.8817,0.6874,0.4568,0.8931,0.3350,0.3246,0.0004029,29320,0.8868,0.3524,0.3353
61,0.8938,0.1182,0.1589,0.8927,0.3358,0.3237,0.0002976,29774,,,
62,0.8875,0.2666,0.3760,0.8928,0.3355,0.3228,0.0002976,30228,,,
63,0.8974,0.3178,0.3747,0.8929,0.3334,0.3208,0.0002976,30683,,,
64,0.8939,0.3799,0.3414,0.8937,0.3318,0.3190,0.0002976,31137,,,
65,0.9001,0.4267,0.3781,0.8944,0.3306,0.3182,0.0002976,31593,,,
66,0.8826,0.3314,0.3644,0.8948,0.3288,0.3168,0.0002976,32038,,,
67,0.8942,0.1896,0.2109,0.8955,0.3291,0.3169,0.0002976,32491,,,
68,0.9003,0.2152,0.2701,0.8965,0.3290,0.3169,0.0002976,32940,,,
69,0.8935,0.2586,0.2560,0.8957,0.3296,0.3168,0.0002976,33387,,,
70,0.8916,0.1450,0.1912,0.8950,0.3290,0.3163,0.0002976,33908,0.8882,0.3478,0.3262
71,0.8971,0.1392,0.1921,0.8956,0.3289,0.3163,0.0002976,34352,,,
72,0.8946,0.1182,0.1536,0.8954,0.3276,0.3153,0.0002976,34794,,,
73,0.8994,0.2862,0.3388,0.8966,0.3278,0.3150,0.0002976,35251,,,
74,0.8969,0.3633,0.3711,0.8959,0.3259,0.3137,0.0002976,35698,,,
75,0.8937,0.3862,0.4027,0.8954,0.3256,0.3131,0.0002976,36149,,,
76,0.9055,0.3744,0.3526,0.8955,0.3262,0.3133,0.0002198,36598,,,
77,0.9089,0.2721,0.2916,0.8956,0.3260,0.3119,0.0002198,37047,,,
78,0.9054,0.3777,0.3366,0.8953,0.3295,0.3128,0.0002198,37503,,,
79,0.9052,0.1679,0.2120,0.8953,0.3272,0.3118,0.0002198,37961,,,
80,0.9093,0.1656,0.1657,0.8950,0.3277,0.3116,0.0002198,38490,0.8900,0.3452,0.3217
81,0.9031,0.3192,0.3255,0.8952,0.3277,0.3113,0.0002198,38949,,,
82,0.9082,0.2614,0.2649,0.8946,0.3296,0.3113,0.0002198,39406,,,
83,0.9077,0.2285,0.2182,0.8949,0.3302,0.3105,0.0002198,39862,,,
84,0.9100,0.2244,0.2467,0.8948,0.3316,0.3101,0.0002198,40325,,,
85,0.9120,0.2959,0.2824,0.8947,0.3324,0.3101,0.0002198,40783,,,
86,0.9068,0.1507,0.2227,0.8953,0.3296,0.3080,0.0002198,41236,,,
87,0.9012,0.3242,0.2524,0.8950,0.3299,0.3082,0.0002198,41690,,,
88,0.9058,0.3624,0.3223,0.8971,0.3280,0.3070,0.0002198,42141,,,
89,0.9057,0.3319,0.2798,0.8970,0.3294,0.3068,0.0002198,42588,,,
90,0.9094,0.2008,0.2376,0.8971,0.3297,0.3062,0.0002198,43113,0.8903,0.3461,0.3171
91,0.9141,0.0845,0.1296,0.8980,0.3287,0.3047,0.0001623,43566,,,
92,0.9143,0.1024,0.1439,0.8983,0.3272,0.3036,0.0001623,44017,,,
93,0.9077,0.3766,0.2955,0.8988,0.3256,0.3027,0.0001623,44472,,,
94,0.9195,0.3034,0.1761,0.8979,0.3233,0.3016,0.0001623,44923,,,
95,0.9143,0.1067,0.1583,0.8988,0.3228,0.3006,0.0001623,45379,,,
96,0.9211,0.2428,0.2199,0.8975,0.3245,0.3003,0.0001623,45835,,,
97,0.9186,0.1297,0.1913,0.8983,0.3232,0.2989,0.0001623,46297,,,
98,0.9199,0.2403,0.2795,0.8987,0.3219,0.2979,0.0001623,46758,,,
99,0.9183,0.1186,0.1722,0.8996,0.3211,0.2970,0.0001623,47219,,,
100,0.9157,0.2175,0.2116,0.8998,0.3211,0.2964,0.0001623,47758,0.8936,0.3361,0.3080
101,0.8480,0.3200,0.2327,0.9012,0.3197,0.2955,0.0010000,48213,,,
102,0.8469,0.3010,0.3279,0.9011,0.3198,0.2955,0.0010000,48662,,,
103,0.8519,0.3085,0.3271,0.8989,0.3213,0.2962,0.0010000,49115,,,
104,0.8550,0.2254,0.2672,0.8986,0.3237,0.2980,0.0010000,49564,,,
105,0.8550,0.5044,0.3736,0.8968,0.3252,0.2995,0.0010000,50016,,,
106,0.8525,0.3360,0.3798,0.8985,0.3242,0.3008,0.0010000,50460,,,
107,0.8552,0.4238,0.3135,0.8985,0.3254,0.3030,0.0010000,50911,,,
108,0.8434,0.4250,0.4007,0.8965,0.3298,0.3064,0.0010000,51363,,,
109,0.8563,0.2397,0.2847,0.8931,0.3338,0.3108,0.0010000,51817,,,
110,0.8581,0.8274,0.5474,0.8937,0.3341,0.3134,0.0010000,52708,0.8912,0.3479,0.3235
111,0.8538,0.4076,0.3048,0.8939,0.3336,0.3133,0.0010000,53481,,,
112,0.8618,0.3389,0.3259,0.8939,0.3338,0.3134,0.0010000,53964,,,
113,0.8642,0.4431,0.4075,0.8953,0.3297,0.3104,0.0010000,54432,,,
114,0.8634,0.2328,0.3332,0.8956,0.3289,0.3098,0.0010000,54895,,,
115,0.8613,0.3461,0.3966,0.8940,0.3312,0.3102,0.0010000,55367,,,
116,0.8806,0.2127,0.2394,0.8936,0.3318,0.3100,0.0007386,55828,,,
117,0.8797,0.2307,0.2001,0.8934,0.3316,0.3091,0.0007386,56286,,,
