epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
70,0.8506,0.6585,0.5378,0.8801,0.3736,0.3917,0.0002976,21819,0.8718,0.3850,0.4027
71,0.8539,0.2857,0.3367,0.8796,0.3720,0.3899,0.0002976,22121,,,
72,0.8441,0.3555,0.4333,0.8797,0.3708,0.3886,0.0002976,22423,,,
73,0.8514,0.3691,0.3843,0.8791,0.3728,0.3893,0.0002976,22725,,,
74,0.8547,0.4858,0.5004,0.8790,0.3711,0.3867,0.0002976,23027,,,
75,0.8529,0.3945,0.4114,0.8798,0.3684,0.3850,0.0002976,23330,,,
76,0.8537,0.3753,0.3461,0.8808,0.3671,0.3833,0.0002198,23632,,,
77,0.8532,0.3791,0.3904,0.8812,0.3658,0.3827,0.0002198,23934,,,
78,0.8577,0.3925,0.4823,0.8802,0.3649,0.3818,0.0002198,24237,,,
79,0.8562,0.6993,0.5905,0.8812,0.3652,0.3822,0.0002198,24539,,,
80,0.8608,0.5251,0.4579,0.8823,0.3627,0.3805,0.0002198,24921,0.8774,0.3753,0.3926
81,0.8569,0.2990,0.3858,0.8820,0.3623,0.3801,0.0002198,25224,,,
82,0.8590,0.3484,0.3625,0.8809,0.3623,0.3798,0.0002198,25526,,,
83,0.8595,0.4955,0.4703,0.8817,0.3612,0.3784,0.0002198,25829,,,
84,0.8579,0.3133,0.3611,0.8811,0.3606,0.3778,0.0002198,26136,,,
85,0.8589,0.4625,0.4431,0.8822,0.3596,0.3766,0.0002198,26439,,,
86,0.8594,0.2262,0.2647,0.8821,0.3594,0.3769,0.0002198,26741,,,
87,0.8629,0.2001,0.2308,0.8820,0.3590,0.3756,0.0002198,27044,,,
88,0.8618,0.5468,0.5432,0.8832,0.3584,0.3744,0.0002198,27347,,,
89,0.8640,0.5802,0.4809,0.8842,0.3575,0.3737,0.0002198,27650,,,
90,0.8556,0.5489,0.5189,0.8839,0.3562,0.3724,0.0002198,28031,0.8774,0.3665,0.3838
91,0.8696,0.1351,0.1915,0.8844,0.3555,0.3712,0.0001623,28335,,,
92,0.8637,0.3573,0.3886,0.8853,0.3540,0.3701,0.0001623,28638,,,
93,0.8642,0.6302,0.5030,0.8857,0.3530,0.3694,0.0001623,28941,,,
94,0.8655,0.5800,0.5585,0.8868,0.3520,0.3685,0.0001623,29244,,,
95,0.8664,0.3961,0.4132,0.8856,0.3523,0.3687,0.0001623,29547,,,
96,0.8658,0.3175,0.3427,0.8859,0.3523,0.3680,0.0001623,29849,,,
97,0.8623,0.3809,0.3787,0.8865,0.3519,0.3677,0.0001623,30153,,,
98,0.8663,0.1651,0.1928,0.8857,0.3523,0.3678,0.0001623,30456,,,
99,0.8681,0.4436,0.3549,0.8859,0.3514,0.3667,0.0001623,30759,,,
100,0.8666,0.2622,0.3179,0.8857,0.3514,0.3658,0.0001623,31141,0.8802,0.3638,0.3771
101,0.8144,0.5192,0.4794,0.8869,0.3514,0.3659,0.0010000,31441,,,
102,0.8179,0.4290,0.4980,0.8846,0.3539,0.3682,0.0010000,31740,,,
103,0.8155,0.5497,0.4765,0.8842,0.3543,0.3693,0.0010000,32038,,,
104,0.8158,0.5371,0.5335,0.8847,0.3556,0.3704,0.0010000,32336,,,
105,0.8149,0.4578,0.4498,0.8858,0.3540,0.3697,0.0010000,32633,,,
106,0.8248,0.5697,0.5475,0.8856,0.3526,0.3690,0.0010000,32929,,,
107,0.8224,0.3550,0.3409,0.8853,0.3538,0.3694,0.0010000,33225,,,
108,0.8205,0.3089,0.3913,0.8841,0.3567,0.3720,0.0010000,33521,,,
109,0.8228,0.3854,0.3856,0.8841,0.3597,0.3743,0.0010000,33817,,,
110,0.8290,0.7222,0.4939,0.8831,0.3613,0.3768,0.0010000,34191,0.8732,0.3772,0.3882
111,0.8245,0.4971,0.4237,0.8816,0.3632,0.3785,0.0010000,34486,,,
112,0.8341,0.5976,0.5030,0.8835,0.3598,0.3758,0.0010000,34781,,,
113,0.8285,0.4915,0.4753,0.8852,0.3576,0.3731,0.0010000,35076,,,
