epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.3848,1.7688,1.5091,0.4453,1.5829,1.3685,0.0010000,325,,,
2,0.5139,1.3972,1.2469,0.4649,1.5218,1.3425,0.0010000,653,,,
3,0.5881,1.1945,1.1119,0.4840,1.4625,1.3132,0.0010000,978,,,
4,0.6303,1.0929,0.9802,0.4992,1.4002,1.2800,0.0010000,1308,,,
5,0.6656,0.9468,0.8909,0.5251,1.3227,1.2376,0.0010000,1634,,,
6,0.6984,0.9919,0.9598,0.5591,1.2313,1.1835,0.0010000,1960,,,
7,0.7207,0.8213,0.7031,0.5966,1.1404,1.1161,0.0010000,2287,,,
8,0.7280,0.7406,0.6902,0.6423,1.0258,1.0246,0.0010000,2615,,,
9,0.7505,0.7818,0.7065,0.6864,0.9096,0.9176,0.0010000,2944,,,
10,0.7627,0.5645,0.5281,0.7269,0.8015,0.8022,0.0010000,3315,0.7183,0.8143,0.8122
11,0.7756,0.6140,0.6239,0.7561,0.7071,0.6901,0.0010000,3644,,,
12,0.7817,0.5623,0.5608,0.7767,0.6537,0.6232,0.0010000,3967,,,
13,0.7869,0.8566,0.6925,0.7956,0.6023,0.5675,0.0010000,4296,,,
14,0.7938,0.2998,0.3811,0.8113,0.5628,0.5262,0.0010000,4622,,,
15,0.7985,0.4843,0.5084,0.8209,0.5331,0.4938,0.0010000,4945,,,
16,0.8142,0.5978,0.6279,0.8296,0.5094,0.4687,0.0007386,5275,,,
17,0.8201,0.2949,0.3319,0.8358,0.4893,0.4464,0.0007386,5599,,,
18,0.8287,0.5282,0.4783,0.8418,0.4704,0.4274,0.0007386,5927,,,
19,0.8319,0.4422,0.4162,0.8470,0.4605,0.4147,0.0007386,6253,,,
20,0.8384,0.3698,0.4075,0.8486,0.4569,0.4067,0.0007386,6630,0.8420,0.4833,0.4218
21,0.8383,0.3995,0.3906,0.8500,0.4516,0.3986,0.0007386,6954,,,
22,0.8375,0.4211,0.4837,0.8543,0.4422,0.3881,0.0007386,7276,,,
23,0.8382,0.3195,0.4010,0.8552,0.4350,0.3811,0.0007386,7606,,,
24,0.8477,0.4438,0.4481,0.8586,0.4284,0.3732,0.0007386,7929,,,
25,0.8503,0.5082,0.4645,0.8633,0.4158,0.3644,0.0007386,8258,,,
26,0.8471,0.2060,0.2762,0.8645,0.4152,0.3591,0.0007386,8581,,,
27,0.8425,0.5439,0.3953,0.8639,0.4144,0.3554,0.0007386,8909,,,
28,0.8509,0.7069,0.6026,0.8679,0.4061,0.3480,0.0007386,9234,,,
29,0.8586,0.3078,0.3684,0.8709,0.3990,0.3417,0.0007386,9556,,,
30,0.8547,0.1984,0.2768,0.8738,0.3911,0.3345,0.0007386,9934,0.8639,0.4192,0.3489
31,0.8712,0.4697,0.3713,0.8767,0.3877,0.3296,0.0005455,10258,,,
32,0.8689,0.2591,0.3133,0.8759,0.3869,0.3268,0.0005455,10585,,,
33,0.8690,0.3239,0.3409,0.8784,0.3833,0.3220,0.0005455,10909,,,
34,0.8771,0.2520,0.2130,0.8785,0.3846,0.3197,0.0005455,11237,,,
35,0.8726,0.3169,0.3559,0.8792,0.3813,0.3157,0.0005455,11559,,,
36,0.8722,0.6565,0.4742,0.8818,0.3769,0.3119,0.0005455,11884,,,
37,0.8724,0.2428,0.2582,0.8818,0.3756,0.3104,0.0005455,12213,,,
38,0.8712,0.3143,0.3044,0.8822,0.3747,0.3087,0.0005455,12539,,,
39,0.8768,0.1256,0.1922,0.8824,0.3740,0.3068,0.0005455,12866,,,
40,0.8785,0.5555,0.3951,0.8844,0.3709,0.3041,0.0005455,13239,0.8763,0.4034,0.3191
41,0.8751,0.4439,0.4132,0.8843,0.3685,0.3025,0.0005455,13567,,,
42,0.8817,0.2501,0.3098,0.8857,0.3687,0.3003,0.0005455,13892,,,
43,0.8819,0.2834,0.2827,0.8854,0.3658,0.2981,0.0005455,14219,,,
44,0.8820,0.4564,0.3237,0.8852,0.3638,0.2959,0.0005455,14543,,,
45,0.8834,0.2025,0.2479,0.8855,0.3668,0.2956,0.0005455,14867,,,
46,0.8946,0.2696,0.2628,0.8848,0.3682,0.2961,0.0004029,15196,,,
47,0.8974,0.3261,0.3067,0.8877,0.3656,0.2935,0.0004029,15518,,,
48,0.8990,0.2295,0.2514,0.8876,0.3630,0.2910,0.0004029,15846,,,
49,0.8988,0.3129,0.2589,0.8875,0.3612,0.2905,0.0004029,16120,,,
50,0.8976,0.1225,0.1710,0.8888,0.3580,0.2887,0.0004029,16435,0.8802,0.3851,0.3005
51,0.9021,0.3195,0.2769,0.8909,0.3561,0.2860,0.0004029,16706,,,
52,0.9039,0.2766,0.2535,0.8902,0.3534,0.2845,0.0004029,16976,,,
53,0.9069,0.2627,0.2613,0.8902,0.3532,0.2832,0.0004029,17246,,,
54,0.8986,0.2670,0.2631,0.8905,0.3530,0.2827,0.0004029,17517,,,
